CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00126G,The University of Western Australia (UWA),088240A,Master of Business Information and Logistics Management,,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$104,600.00",$746.00,"$105,346.00",No
00126G,The University of Western Australia (UWA),089264G,Graduate Certificate in Business,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Graduate Certificate,No,No,,,,English,26,"$32,150.00",$186.50,"$32,336.50",No
00126G,The University of Western Australia (UWA),089265F,Graduate Certificate in Commerce,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$25,700.00",$186.50,"$25,886.50",No
00126G,The University of Western Australia (UWA),089266E,Master of Agricultural Economics,,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Masters Degree (Coursework),No,No,,,,English,104,"$107,000.00",$746.00,"$107,746.00",No
00126G,The University of Western Australia (UWA),089267D,Master of Clinical Exercise Physiology,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010999 - Biological Sciences, n.e.c.",,,,Masters Degree (Coursework),No,Yes,18.00,20,360,English,104,"$106,000.00",$746.00,"$106,746.00",No
00126G,The University of Western Australia (UWA),089501K,Master of Studies,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$96,800.00",$746.00,"$97,546.00",No
00126G,The University of Western Australia (UWA),089507D,Graduate Certificate in Studies,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Graduate Certificate,No,No,,,,English,26,"$24,200.00",$186.50,"$24,386.50",No
00126G,The University of Western Australia (UWA),089786C,Juris Doctor,,No,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",,,,Masters Degree (Extended),No,No,,,,English,156,"$171,300.00","$1,119.00","$172,419.00",No
00126G,The University of Western Australia (UWA),089787B,Doctor of Dental Medicine,,No,06 - Health,0607 - Dental Studies,060701 - Dentistry,,,,Masters Degree (Extended),No,Yes,,128,"2,500",English,208,"$374,800.00","$1,492.00","$376,292.00",No
00126G,The University of Western Australia (UWA),089788A,Doctor of Medicine,,No,06 - Health,0601 - Medical Studies,060101 - General Medicine,,,,Masters Degree (Extended),No,Yes,,90,"3,160",English,208,"$371,600.00","$1,492.00","$373,092.00",No
00126G,The University of Western Australia (UWA),089964A,Graduate Certificate in Social Policy Practice,,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Graduate Certificate,No,No,,,,English,26,"$21,500.00",$186.50,"$21,686.50",No
00126G,The University of Western Australia (UWA),089965M,Graduate Certificate in Translation Studies,,No,09 - Society and Culture,0915 - Language and Literature,091519 - Translating and Interpreting,,,,Graduate Certificate,No,No,,,,English,26,"$21,500.00",$186.50,"$21,686.50",No
00126G,The University of Western Australia (UWA),091153G,Master of Mining and Energy Law,,No,09 - Society and Culture,0909 - Law,090901 - Business and Commercial Law,,,,Masters Degree (Coursework),No,No,,,,English,52,"$50,300.00",$373.00,"$50,673.00",No
00126G,The University of Western Australia (UWA),093309J,Master of Energy Geoscience,,No,01 - Natural and Physical Sciences,0107 - Earth Sciences,010705 - Geophysics,,,,Masters Degree (Coursework),No,No,,,,English,104,"$107,000.00",$746.00,"$107,746.00",No
00126G,The University of Western Australia (UWA),093310E,Master of Data Science,,No,02 - Information Technology,0201 - Computer Science,020111 - Data Structures,,,,Masters Degree (Coursework),No,No,,,,English,104,"$104,000.00",$746.00,"$104,746.00",No
00126G,The University of Western Australia (UWA),093562G,Master of Public Policy,,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,,,,Masters Degree (Coursework),No,No,,,,English,104,"$94,400.00",$746.00,"$95,146.00",No
00126G,The University of Western Australia (UWA),093572E,Master of Business Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Coursework),No,No,,,,English,104,"$101,400.00",$746.00,"$102,146.00",No
00126G,The University of Western Australia (UWA),093805D,Graduate Certificate in Forensic Anthropology,,No,09 - Society and Culture,0903 - Studies in Human Society,090303 - Anthropology,,,,Graduate Certificate,No,No,,,,English,26,"$26,700.00",$186.50,"$26,886.50",No
00126G,The University of Western Australia (UWA),093806C,Graduate Diploma in Forensic Anthropology,,No,09 - Society and Culture,0903 - Studies in Human Society,090303 - Anthropology,,,,Graduate Diploma,No,No,,,,English,52,"$53,500.00",$373.00,"$53,873.00",No
00126G,The University of Western Australia (UWA),093807B,Master of Forensic Anthropology,,No,09 - Society and Culture,0903 - Studies in Human Society,090303 - Anthropology,,,,Masters Degree (Coursework),No,No,,,,English,104,"$107,000.00",$746.00,"$107,746.00",No
00126G,The University of Western Australia (UWA),094494F,Master of Building Information Modelling,,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Masters Degree (Coursework),No,No,,,,English,52,"$47,700.00",$373.00,"$48,073.00",No
00126G,The University of Western Australia (UWA),095001B,Bachelor of Biomedical Science,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Bachelor Degree,No,No,,,,English,156,"$154,200.00","$1,119.00","$155,319.00",No
00126G,The University of Western Australia (UWA),095238C,Master of Teaching-Secondary,,No,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,,,,Masters Degree (Coursework),No,Yes,37.50,13,488,English,78,"$78,600.00",$559.50,"$79,159.50",No
00126G,The University of Western Australia (UWA),095412E,Graduate Diploma in Natural Resources Law,,No,09 - Society and Culture,0909 - Law,090901 - Business and Commercial Law,,,,Graduate Diploma,No,No,,,,English,26,"$25,150.00",$186.50,"$25,336.50",No
00126G,The University of Western Australia (UWA),095760G,Graduate Certificate in Public Policy,,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,,,,Graduate Certificate,No,No,,,,English,26,"$23,600.00",$186.50,"$23,786.50",No
00126G,The University of Western Australia (UWA),096270F,Master of Ocean Leadership,,No,03 - Engineering and Related Technologies,0317 - Maritime Engineering and Technology,"031799 - Maritime Engineering and Technology, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$107,000.00",$746.00,"$107,746.00",No
00126G,The University of Western Australia (UWA),096403J,Master of Pathology (Thesis and Coursework),,No,06 - Health,0601 - Medical Studies,060113 - Pathology,,,,Masters Degree (Research),No,No,,,,English,52,"$49,300.00",$373.00,"$49,673.00",No
00126G,The University of Western Australia (UWA),097870G,Graduate Certificate in Finance,,No,08 - Management and Commerce,"0811 - Banking, Finance and Related Fields",081101 - Banking and Finance,,,,Graduate Certificate,No,No,,,,English,26,"$27,150.00",$186.50,"$27,336.50",No
00126G,The University of Western Australia (UWA),097871F,Bachelor of Biomedical Science (Honours),,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Bachelor Honours Degree,No,No,,,,English,52,"$51,400.00",$373.00,"$51,773.00",No
00126G,The University of Western Australia (UWA),098378M,Master of Legal Practice,,No,09 - Society and Culture,0909 - Law,090913 - Legal Practice,,,,Masters Degree (Coursework),No,No,,,,English,104,"$100,600.00",$746.00,"$101,346.00",No
00126G,The University of Western Australia (UWA),102292A,Graduate Diploma in Building Information Modelling,,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,,,,Graduate Diploma,No,No,,,,English,26,"$23,850.00",$186.50,"$24,036.50",No
00126G,The University of Western Australia (UWA),102859M,Bachelor of Agricultural Science and Master of Agricultural Science,,Yes,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,050101 - Agricultural Science,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,050101 - Agricultural Science,Bachelor Degree,No,No,,,,English,208,"$210,800.00","$1,492.00","$212,292.00",No
00126G,The University of Western Australia (UWA),102860G,Bachelor of Molecular Sciences and Master of Biomedical Science,,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,06 - Health,0699 - Other Health,069901 - Nutrition and Dietetics,Bachelor Degree,No,No,,,,English,208,"$209,200.00","$1,492.00","$210,692.00",No
00126G,The University of Western Australia (UWA),102861F,Bachelor of Biological Science and Master of Biological Science,,Yes,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010900 - Biological Sciences, n.f.d.","05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050901 - Land, Parks and Wildlife Management",Bachelor Degree,No,No,,,,English,208,"$210,800.00","$1,492.00","$212,292.00",No
00126G,The University of Western Australia (UWA),102862E,Bachelor of Automation and Robotics,,No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031305 - Computer Engineering,,,,Bachelor Degree,No,No,,,,English,156,"$139,800.00","$1,053.00","$140,853.00",No
00126G,The University of Western Australia (UWA),102863D,Bachelor of Environmental Design,,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040107 - Interior and Environmental Design,,,,Bachelor Degree,No,No,,,,English,156,"$126,000.00","$1,119.00","$127,119.00",No
00126G,The University of Western Australia (UWA),102864C,Bachelor of Music,,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,,,,Bachelor Degree,No,No,,,,English,156,"$126,000.00","$1,119.00","$127,119.00",No
00126G,The University of Western Australia (UWA),102865B,"Bachelor of Philosophy, Politics and Economics",,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",,,,Bachelor Degree,No,No,,,,English,156,"$127,500.00","$1,119.00","$128,619.00",No
00126G,The University of Western Australia (UWA),102866A,Bachelor of Business,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Bachelor Degree,No,No,,,,English,156,"$152,100.00","$1,119.00","$153,219.00",No
00126G,The University of Western Australia (UWA),102867M,Bachelor of Advanced Computer Science (Honours),,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",,,,Bachelor Degree,No,No,,,,English,208,"$208,000.00","$1,492.00","$209,492.00",No
00126G,The University of Western Australia (UWA),102870E,Bachelor of Environmental Science and Master of Environmental Science,,Yes,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050900 - Environmental Studies, n.f.d.","05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050900 - Environmental Studies, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$209,200.00","$1,492.00","$210,692.00",No
00126G,The University of Western Australia (UWA),102871D,Bachelor of Earth Sciences and Master of Geoscience,,Yes,01 - Natural and Physical Sciences,0107 - Earth Sciences,"010700 - Earth Sciences, n.f.d.",01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$210,800.00","$1,492.00","$212,292.00",No
00126G,The University of Western Australia (UWA),102873B,Bachelor of Agribusiness and Master of Agricultural Economics,,Yes,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,050101 - Agricultural Science,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,050101 - Agricultural Science,Bachelor Degree,No,No,,,,English,208,"$210,800.00","$1,492.00","$212,292.00",No
00126G,The University of Western Australia (UWA),102874A,Bachelor of Marine Science and Master of Environmental Science,,Yes,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050900 - Environmental Studies, n.f.d.",01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$209,200.00","$1,492.00","$210,692.00",No
00126G,The University of Western Australia (UWA),102875M,Bachelor of Economics and Master of Economics,,Yes,09 - Society and Culture,0919 - Economics and Econometrics,"091900 - Economics and Econometrics, n.f.d",09 - Society and Culture,0919 - Economics and Econometrics,"091900 - Economics and Econometrics, n.f.d",Bachelor Degree,No,No,,,,English,208,"$204,400.00","$1,492.00","$205,892.00",No
00126G,The University of Western Australia (UWA),103500A,Master of Bioinformatics (Coursework or Coursework and Dissertation),,No,01 - Natural and Physical Sciences,0101 - Mathematical Sciences,010103 - Statistics,,,,Masters Degree (Coursework),No,No,,,,English,104,"$107,000.00",$746.00,"$107,746.00",No
00126G,The University of Western Australia (UWA),103502K,Master of Professional Accounting (Chartered Accounting) (Coursework),,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Masters Degree (Coursework),No,No,,,,English,130,"$127,538.00",$933.00,"$128,471.00",No
00126G,The University of Western Australia (UWA),103903D,Graduate Diploma in Commerce (Chartered Accounting),,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Graduate Diploma,No,No,,,,English,52,"$39,800.00",$373.00,"$40,173.00",No
00126G,The University of Western Australia (UWA),104799B,Master of Ore Deposit Geology,,No,01 - Natural and Physical Sciences,0107 - Earth Sciences,010703 - Geology,,,,Masters Degree (Coursework),No,No,,,,English,52,"$53,500.00",$373.00,"$53,873.00",No
00126G,The University of Western Australia (UWA),106081B,Bachelor of Engineering (Honours),,No,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",,,,Bachelor Honours Degree,No,Yes,,24,450,English,208,"$214,800.00","$1,492.00","$216,292.00",No
00126G,The University of Western Australia (UWA),106082A,Bachelor of Engineering (Honours)/Bachelor of Commerce,,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Degree,No,Yes,,24,450,English,260,"$267,000.00","$1,865.00","$268,865.00",No
00126G,The University of Western Australia (UWA),106083M,Bachelor of Engineering (Honours)/Bachelor of Science,,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,Yes,,24,450,English,260,"$268,500.00","$1,865.00","$270,365.00",No
00126G,The University of Western Australia (UWA),106473H,Bachelor of Marine Science and Master of Marine Biology,,Yes,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010900 - Biological Sciences, n.f.d.",01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,No,,,,English,224,"$210,800.00","$1,606.77","$212,406.77",No
00126G,The University of Western Australia (UWA),106474G,Bachelor of Molecular Sciences and Master of Biotechnology,,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019905 - Food Science and Biotechnology,01 - Natural and Physical Sciences,0109 - Biological Sciences,010901 - Biochemistry and Cell Biology,Bachelor Degree,No,No,,,,English,224,"$210,800.00","$1,606.77","$212,406.77",No
00126G,The University of Western Australia (UWA),107428E,Bachelor of Earth Science,,No,01 - Natural and Physical Sciences,0107 - Earth Sciences,"010799 - Earth Sciences, n.e.c.",,,,Bachelor Degree,No,No,,,,English,144,"$156,000.00","$1,032.92","$157,032.92",No
00126G,The University of Western Australia (UWA),107430M,Bachelor of Science and Master of Teaching (Secondary),,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,Bachelor Degree,No,Yes,37.50,13,488,English,208,"$212,850.00","$1,492.00","$214,342.00",No
00126G,The University of Western Australia (UWA),107443F,Bachelor of Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Degree,No,No,,,,English,144,"$147,600.00","$1,032.92","$148,632.92",No
00126G,The University of Western Australia (UWA),107444E,Bachelor of Psychology and Bachelor of Arts,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Degree,No,No,,,,English,192,"$181,200.00","$1,377.23","$182,577.23",No
00126G,The University of Western Australia (UWA),107445D,Bachelor of Psychology and Bachelor of Commerce,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Degree,No,No,,,,English,192,"$197,200.00","$1,377.23","$198,577.23",No
00126G,The University of Western Australia (UWA),107481M,Bachelor of Molecular Sciences and Master of Bioinformatics,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010999 - Biological Sciences, n.e.c.",,,,Bachelor Degree,No,No,,,,English,192,"$211,200.00","$1,377.23","$212,577.23",No
00126G,The University of Western Australia (UWA),107482K,Bachelor of Molecular Sciences,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010900 - Biological Sciences, n.f.d.",,,,Bachelor Degree,No,No,,,,English,144,"$156,000.00","$1,032.92","$157,032.92",No
00126G,The University of Western Australia (UWA),107555J,Master of Oceanography (coursework or coursework and dissertation),,No,01 - Natural and Physical Sciences,0107 - Earth Sciences,010713 - Oceanography,,,,Masters Degree (Coursework),No,No,,,,English,96,"$103,400.00",$688.62,"$104,088.62",No
00126G,The University of Western Australia (UWA),107572H,Bachelor of Agribusiness,,No,08 - Management and Commerce,0803 - Business and Management,080321 - Farm Management and Agribusiness,,,,Bachelor Degree,No,Yes,6.70,12,80,English,144,"$155,100.00","$1,032.92","$156,132.92",No
00126G,The University of Western Australia (UWA),107573G,Bachelor of Agribusiness and Bachelor of Science,,Yes,08 - Management and Commerce,0803 - Business and Management,080321 - Farm Management and Agribusiness,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,Yes,6.70,12,80,English,192,"$207,600.00","$1,377.23","$208,977.23",No
00126G,The University of Western Australia (UWA),107574F,Bachelor of Agricultural Science,,Yes,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,050101 - Agricultural Science,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Degree,No,Yes,6.70,12,80,English,144,"$156,000.00","$1,032.92","$157,032.92",No
00126G,The University of Western Australia (UWA),107575E,Bachelor of Agricultural Science and Bachelor of Commerce,,Yes,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,050101 - Agricultural Science,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Degree,No,Yes,6.70,12,80,English,192,"$206,000.00","$1,377.23","$207,377.23",No
00126G,The University of Western Australia (UWA),107576D,Bachelor of Agricultural Science and Bachelor of Science,,Yes,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,050101 - Agricultural Science,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,Yes,6.70,12,80,English,192,"$208,000.00","$1,377.23","$209,377.23",No
00126G,The University of Western Australia (UWA),107577C,Bachelor of Agricultural Science and Bachelor of Arts,,Yes,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,050101 - Agricultural Science,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Degree,No,Yes,6.70,12,80,English,192,"$189,200.00","$1,377.23","$190,577.23",No
00126G,The University of Western Australia (UWA),107578B,Bachelor of Environmental Science,,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050900 - Environmental Studies, n.f.d.",,,,Bachelor Degree,No,No,,,,English,144,"$156,000.00","$1,032.92","$157,032.92",No
00126G,The University of Western Australia (UWA),107579A,Bachelor of Environmental Science and Bachelor of Arts,,Yes,"05 - Agriculture, Environmental and Related Studies","0599 - Other Agriculture, Environmental and Related Studies","059999 - Agriculture, Environmental and Related Studies, n.e.c.",09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Degree,No,No,,,,English,192,"$189,200.00","$1,377.23","$190,577.23",No
00126G,The University of Western Australia (UWA),107580H,Bachelor of Environmental Science and Bachelor of Commerce,,Yes,"05 - Agriculture, Environmental and Related Studies","0599 - Other Agriculture, Environmental and Related Studies","059999 - Agriculture, Environmental and Related Studies, n.e.c.",08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Degree,No,No,,,,English,192,"$206,000.00","$1,377.23","$207,377.23",No
00126G,The University of Western Australia (UWA),107581G,Bachelor of Environmental Science and Bachelor of Science,,Yes,"05 - Agriculture, Environmental and Related Studies","0599 - Other Agriculture, Environmental and Related Studies","059999 - Agriculture, Environmental and Related Studies, n.e.c.",01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,No,,,,English,192,"$208,000.00","$1,377.23","$209,377.23",No
00126G,The University of Western Australia (UWA),107721M,Bachelor of Economics,,No,09 - Society and Culture,0919 - Economics and Econometrics,"091900 - Economics and Econometrics, n.f.d",,,,Bachelor Degree,No,No,,,,English,144,"$150,900.00","$1,032.92","$151,932.92",No
00126G,The University of Western Australia (UWA),107722K,Bachelor of Biological Science,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010900 - Biological Sciences, n.f.d.",,,,Bachelor Degree,No,No,,,,English,144,"$156,000.00","$1,032.92","$157,032.92",No
00126G,The University of Western Australia (UWA),107723J,Bachelor of Marine Science,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Bachelor Degree,No,No,,,,English,144,"$156,000.00","$1,032.92","$157,032.92",No
00126G,The University of Western Australia (UWA),107724H,"Bachelor of Philosophy, Politics and Economics and Bachelor of Arts",,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",10 - Creative Arts,1099 - Other Creative Arts,"109999 - Creative Arts, n.e.c.",Bachelor Degree,No,No,,,,English,192,"$170,000.00","$1,377.23","$171,377.23",No
00126G,The University of Western Australia (UWA),107725G,Master of Marine Biology (coursework or coursework and dissertation),,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,010907 - Marine Science,,,,Masters Degree (Coursework),No,No,,,,English,96,"$106,800.00",$688.62,"$107,488.62",No
00126G,The University of Western Australia (UWA),107726F,Master of Infectious Diseases (coursework or coursework and dissertation),,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,010911 - Microbiology,,,,Masters Degree (Coursework),No,No,,,,English,96,"$109,800.00",$688.62,"$110,488.62",No
00126G,The University of Western Australia (UWA),107846J,Bachelor of Biological Science and Master of Biotechnology,,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019905 - Food Science and Biotechnology,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019900 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,No,,,,English,192,"$211,200.00","$1,377.23","$212,577.23",No
00126G,The University of Western Australia (UWA),107847H,Bachelor of Earth Sciences and Master of Oceanography,,Yes,01 - Natural and Physical Sciences,0107 - Earth Sciences,010713 - Oceanography,01 - Natural and Physical Sciences,0107 - Earth Sciences,010713 - Oceanography,Bachelor Degree,No,Yes,8.30,12,100,English,192,"$208,400.00","$1,377.23","$209,777.23",No
00126G,The University of Western Australia (UWA),107848G,Bachelor of Engineering (Honours) / Bachelor of Philosophy (Honours),,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",09 - Society and Culture,0917 - Philosophy and Religious Studies,091701 - Philosophy,Bachelor Degree,No,Yes,18.70,24,449,English,286,"$304,700.00","$2,051.50","$306,751.50",No
00126G,The University of Western Australia (UWA),108367E,Bachelor of Human Sciences,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,010913 - Human Biology,,,,Bachelor Degree,No,No,,,,English,144,"$156,000.00","$1,032.92","$157,032.92",No
00126G,The University of Western Australia (UWA),108368D,Bachelor of Sport and Exercise Sciences,,No,06 - Health,0699 - Other Health,069903 - Human Movement,,,,Bachelor Degree,No,Yes,,24,140,English,144,"$146,400.00","$1,032.92","$147,432.92",No
00126G,The University of Western Australia (UWA),108369C,Bachelor of Sport and Exercise Sciences and Master of Applied Human Performance Science,,Yes,06 - Health,0699 - Other Health,069903 - Human Movement,06 - Health,0699 - Other Health,069903 - Human Movement,Bachelor Degree,No,Yes,38.00,15,570,English,192,"$211,200.00","$1,377.23","$212,577.23",No
00126G,The University of Western Australia (UWA),108370K,Bachelor of Human Sciences and Master of Bioinformatics,,Yes,01 - Natural and Physical Sciences,0109 - Biological Sciences,010913 - Human Biology,01 - Natural and Physical Sciences,0109 - Biological Sciences,010909 - Genetics,Bachelor Degree,No,No,,,,English,192,"$211,200.00","$1,377.23","$212,577.23",No
00126G,The University of Western Australia (UWA),108371J,Master of Applied Human Performance Science (coursework),,No,06 - Health,0699 - Other Health,069903 - Human Movement,,,,Masters Degree (Coursework),No,Yes,,12,430,English,96,"$97,600.00",$689.00,"$98,289.00",No
00126G,The University of Western Australia (UWA),108803A,"Bachelor of Philosophy, Politics and Economics and Bachelor of Commerce",,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Bachelor Degree,No,No,,,,English,192,"$170,000.00","$1,377.23","$171,377.23",No
00126G,The University of Western Australia (UWA),109131F,Bachelor of Science Frontier Physics and Master of Physics,,No,01 - Natural and Physical Sciences,0103 - Physics and Astronomy,010301 - Physics,,,,Bachelor Degree,No,No,,,,English,192,"$211,200.00","$1,377.23","$212,577.23",No
00126G,The University of Western Australia (UWA),110776C,Master of Offshore and Coastal Engineering,,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030913 - Ocean Engineering,,,,Masters Degree (Coursework),No,No,,,,English,104,"$105,200.00",$746.00,"$105,946.00",No
00126G,The University of Western Australia (UWA),111633K,Bachelor of Criminology and Criminal Justice,,No,09 - Society and Culture,0911 - Justice and Law Enforcement,"091199 - Justice and Law Enforcement, n.e.c.",,,,Bachelor Degree,No,No,,,,English,144,"$127,500.00","$1,032.92","$128,532.92",No
00126G,The University of Western Australia (UWA),111640M,Bachelor of Human Rights,,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Bachelor Degree,No,No,,,,English,156,"$127,500.00","$1,119.00","$128,619.00",No
00126G,The University of Western Australia (UWA),111641K,Bachelor of Human Rights and Bachelor of Arts,,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$170,000.00","$1,492.00","$171,492.00",No
00126G,The University of Western Australia (UWA),111642J,Bachelor of Human Rights and Bachelor of Commerce,,Yes,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$186,400.00","$1,492.00","$187,892.00",No
00126G,The University of Western Australia (UWA),111643H,Bachelor of Modern Languages and Bachelor of Arts,,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Degree,No,No,,,,English,208,"$175,600.00","$1,492.00","$177,092.00",No
