CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00026A,The University of Sydney,096314K,Master of Crosscultural and Applied Linguistics,,No,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,,,,Masters Degree (Coursework),No,No,,,,English,104,"$104,100.00",$751.60,"$104,851.60",No
00026A,The University of Sydney,096315J,Graduate Diploma of Crosscultural and Applied Linguistics,,No,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,,,,Graduate Diploma,No,No,,,,English,52,"$51,300.00",$373.00,"$51,673.00",No
00026A,The University of Sydney,096316G,Graduate Certificate of Crosscultural and Applied Linguistics,,No,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,,,,Graduate Certificate,No,No,,,,English,26,"$25,650.00",$186.50,"$25,836.50",No
00026A,The University of Sydney,096317G,Graduate Diploma in Computing,,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",,,,Graduate Diploma,No,No,,,,English,52,"$55,100.00",$365.00,"$55,465.00",No
00026A,The University of Sydney,096318F,Graduate Certificate in Computing,,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",,,,Graduate Certificate,No,No,,,,English,26,"$25,250.00",$164.50,"$25,414.50",No
00026A,The University of Sydney,097035J,Master of Mathematical Sciences,,No,01 - Natural and Physical Sciences,0101 - Mathematical Sciences,"010199 - Mathematical Sciences, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,104,"$125,300.00",$751.60,"$126,051.60",No
00026A,The University of Sydney,097036G,Bachelor of Science and Master of Mathematical Sciences,,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",01 - Natural and Physical Sciences,0101 - Mathematical Sciences,"010199 - Mathematical Sciences, n.e.c.",Masters Degree (Coursework),No,No,,,,English,234,"$289,550.00","$1,712.41","$291,262.41",No
00026A,The University of Sydney,097037G,Master of Public Health,,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,78,"$93,500.00",$559.50,"$94,059.50",No
00026A,The University of Sydney,097038F,Master of Global Health,,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,78,"$93,500.00",$559.50,"$94,059.50",No
00026A,The University of Sydney,097699B,Graduate Certificate in Project and Program Management,,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,,,,Graduate Certificate,No,No,,,,English,26,"$28,950.00",$186.50,"$29,136.50",No
00026A,The University of Sydney,097700C,Master of Project and Program Management,,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,,,,Masters Degree (Coursework),No,No,,,,English,52,"$57,900.00",$373.00,"$58,273.00",No
